NUMBER	ENGLISH	SUBSET	SOURCE
Shin-1995-1468-442	442	feather	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-443	443	feed	(400)	B. & Th., CL, K. & K.
Shin-1995-1468-444	444	feel	(1500)	CL
Shin-1995-1468-445	445	fell	(1500)	CL
Shin-1995-1468-446	446	fell	(1500)	K. & K.
Shin-1995-1468-447	447	felt	(1500)	K. & K.
Shin-1995-1468-448	448	female	(1500)	K. & K.
Shin-1995-1468-449	449	ferment	(1500)	K. & K.
Shin-1995-1468-450	450	fetch	(1500)	CL
Shin-1995-1468-451	451	fever	(700)	B. & Th., JHG
Shin-1995-1468-452	452	few	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-453	453	field	(700)	B. & Th., K. & K.
Shin-1995-1468-454	454	fifteen	(700)	B. & Th., JHG
Shin-1995-1468-455	455	fifty	(700)	B. & Th., JHG
Shin-1995-1468-456	456	fight	(400)	B. & Th., C. & S., MS
Shin-1995-1468-457	457	fill	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-458	458	filter	(1500)	B. & Th.
Shin-1995-1468-459	459	fin	(1500)	B. & Th.
Shin-1995-1468-460	460	find	(700)	B. & Th., K. & K.
Shin-1995-1468-461	461	find oneself	(1500)	K. & K.
Shin-1995-1468-462	462	find out	(1500)	CL
Shin-1995-1468-463	463	finger	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-464	464	fingernail	(400)	B. & Th., JHG, MS
Shin-1995-1468-465	465	finish	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-466	466	fire	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-467	467	fire-tongs	(1500)	K. & K.
Shin-1995-1468-468	468	firewood	(700)	B. & Th., K. & K.
Shin-1995-1468-469	469	first quarter	(1500)	B. & Th.
Shin-1995-1468-470	470	fish	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-471	471	fishbone	(1500)	B. & Th.
Shin-1995-1468-472	472	fisherman	(1500)	B. & Th.
Shin-1995-1468-473	473	fishing trap	(1500)	B. & Th.
Shin-1995-1468-474	474	fist	(1500)	B. & Th.
Shin-1995-1468-475	475	five	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-476	476	fix	(1500)	CL
Shin-1995-1468-477	477	flatter	(1500)	CL
Shin-1995-1468-478	478	flea	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-479	479	flint	(1500)	K. & K.
Shin-1995-1468-480	480	float	(400)	C. & S., CL, MS
Shin-1995-1468-481	481	flourish	(1500)	CL
Shin-1995-1468-482	482	flow	(400)	C. & S., CL, MS
Shin-1995-1468-483	483	flower	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-484	484	fly	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-485	485	fly	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-486	486	flying ant	(1500)	B. & Th.
Shin-1995-1468-487	487	flying-fox	(1500)	B. & Th.
Shin-1995-1468-488	488	foal	(1500)	K. & K.
Shin-1995-1468-489	489	foam	(1500)	K. & K.
Shin-1995-1468-490	490	fog	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-491	491	follow	(400)	B. & Th., CL, JHG
Shin-1995-1468-492	492	fonio	(1500)	B. & Th.
Shin-1995-1468-493	493	food	(700)	B. & Th., JHG
Shin-1995-1468-494	494	foot	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-495	495	forehead	(1500)	K. & K.
Shin-1995-1468-496	496	foreign	(1500)	CL
Shin-1995-1468-497	497	forelock	(1500)	K. & K.
Shin-1995-1468-498	498	forest spirit	(1500)	B. & Th.
Shin-1995-1468-499	499	forge	(700)	B. & Th., JHG
Shin-1995-1468-500	500	forget	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-501	501	fork	(1500)	K. & K.
Shin-1995-1468-502	502	forty	(700)	B. & Th., JHG
Shin-1995-1468-503	503	foundation	(1500)	K. & K.
Shin-1995-1468-504	504	four	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-505	505	fourteen	(700)	B. & Th., JHG
Shin-1995-1468-506	506	fox	(1500)	K. & K.
Shin-1995-1468-507	507	free of herbs	(1500)	CL
Shin-1995-1468-508	508	freeze	(400)	C. & S., K. & K., MS
Shin-1995-1468-509	509	fresh	(1500)	CL
Shin-1995-1468-510	510	friend	(700)	B. & Th., JHG
Shin-1995-1468-511	511	frighten	(1500)	K. & K.
Shin-1995-1468-512	512	frog	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-513	513	from	(1500)	B. & Th.
Shin-1995-1468-514	514	front	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-515	515	fruit	(400)	B. & Th., C. & S., JHG
Shin-1995-1468-516	516	fry	(1500)	B. & Th.
Shin-1995-1468-517	517	fuel from dried dung	(1500)	K. & K.
Shin-1995-1468-518	518	full	(200)	B. & Th., C. & S., CL, MS
Shin-1995-1468-519	519	full moon	(700)	B. & Th., JHG
Shin-1995-1468-520	520	fur-bearing animal	(1500)	K. & K.
Shin-1995-1468-521	521	furrow	(1500)	K. & K.
Shin-1995-1468-522	522	gain	(1500)	K. & K.
Shin-1995-1468-523	523	gall	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-524	524	galley-slug	(1500)	B. & Th.
Shin-1995-1468-525	525	garlic	(700)	B. & Th., K. & K.
Shin-1995-1468-526	526	gather	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-527	527	gelatin	(1500)	B. & Th.
Shin-1995-1468-528	528	genet	(1500)	B. & Th.
Shin-1995-1468-529	529	get	(1500)	CL
Shin-1995-1468-530	530	get cold	(700)	CL, K. & K.
Shin-1995-1468-531	531	get frightened	(1500)	CL
Shin-1995-1468-532	532	get startled	(1500)	CL
Shin-1995-1468-533	533	get stuck	(1500)	CL
Shin-1995-1468-534	534	get to know	(1500)	CL
Shin-1995-1468-535	535	get up	(1500)	B. & Th.
Shin-1995-1468-536	536	ghost	(700)	B. & Th., JHG
Shin-1995-1468-537	537	girl	(700)	B. & Th., JHG
Shin-1995-1468-538	538	give	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-539	539	give birth	(700)	B. & Th., JHG
Shin-1995-1468-540	540	glad	(1500)	CL
Shin-1995-1468-541	541	gnat	(1500)	K. & K.
Shin-1995-1468-542	542	gnaw	(1500)	K. & K.
Shin-1995-1468-543	543	go	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-544	544	go away	(1500)	K. & K.
Shin-1995-1468-545	545	go down	(700)	B. & Th., JHG
Shin-1995-1468-546	546	go out	(700)	B. & Th., JHG
Shin-1995-1468-547	547	go out of	(1500)	CL
Shin-1995-1468-548	548	go up	(700)	B. & Th., JHG
Shin-1995-1468-549	549	goat	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-550	550	goat hair	(1500)	K. & K.
Shin-1995-1468-551	551	God	(700)	B. & Th., JHG
Shin-1995-1468-552	552	gold	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-553	553	good	(200)	B. & Th., C. & S., CL, JHG, MS
Shin-1995-1468-554	554	gorilla	(1500)	B. & Th.
Shin-1995-1468-555	555	grain	(1500)	K. & K.
Shin-1995-1468-556	556	grand	(1500)	B. & Th.
Shin-1995-1468-557	557	granddaughter	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-558	558	grandfather	(700)	B. & Th., JHG
Shin-1995-1468-559	559	grandmother	(700)	B. & Th., JHG
Shin-1995-1468-560	560	grandson	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-561	561	grapes	(1500)	K. & K.
Shin-1995-1468-562	562	grass	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-563	563	grasshopper	(1500)	K. & K.
Shin-1995-1468-564	564	grave	(1500)	K. & K.
Shin-1995-1468-565	565	grave stone	(1500)	K. & K.
Shin-1995-1468-566	566	graze	(1500)	CL
Shin-1995-1468-567	567	Great Bear	(1500)	B. & Th.
Shin-1995-1468-568	568	greedy	(1500)	K. & K.
Shin-1995-1468-569	569	green	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-570	570	grey	(700)	CL, K. & K.
Shin-1995-1468-571	571	groom	(1500)	K. & K.
Shin-1995-1468-572	572	ground	(700)	B. & Th., JHG
Shin-1995-1468-573	573	groundnuts	(700)	B. & Th., JHG
Shin-1995-1468-574	574	grow	(1500)	CL
Shin-1995-1468-575	575	growl	(700)	B. & Th., K. & K.
Shin-1995-1468-576	576	grub	(1500)	B. & Th.
Shin-1995-1468-577	577	gruel	(1500)	B. & Th.
Shin-1995-1468-578	578	guenon	(1500)	B. & Th.
Shin-1995-1468-579	579	guess	(1500)	CL
Shin-1995-1468-580	580	guest	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-581	581	guinea-fowl	(700)	B. & Th., JHG
Shin-1995-1468-582	582	gullet	(1500)	K. & K.
Shin-1995-1468-583	583	gum	(1500)	K. & K.
Shin-1995-1468-584	584	gut	(1500)	K. & K.
Shin-1995-1468-585	585	guts	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-586	586	hair	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-587	587	half	(1500)	CL
Shin-1995-1468-588	588	hammer	(1500)	CL
Shin-1995-1468-589	589	hammer	(1500)	K. & K.
Shin-1995-1468-590	590	hand	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-591	591	handle	(1500)	K. & K.
Shin-1995-1468-592	592	handsome	(1500)	CL
Shin-1995-1468-593	593	hang	(700)	B. & Th., K. & K.
Shin-1995-1468-594	594	happen	(1500)	CL
Shin-1995-1468-595	595	happy	(1500)	CL
Shin-1995-1468-596	596	hard	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-597	597	hare	(1500)	K. & K.
Shin-1995-1468-598	598	harvest	(700)	B. & Th., CL
Shin-1995-1468-599	599	hat	(700)	B. & Th., JHG
Shin-1995-1468-600	600	hate	(1500)	CL
Shin-1995-1468-601	601	have	(1500)	CL
Shin-1995-1468-602	602	have a pain	(1500)	B. & Th.
Shin-1995-1468-603	603	havel	(1500)	K. & K.
Shin-1995-1468-604	604	hawk	(700)	B. & Th., JHG
Shin-1995-1468-605	605	hazy	(1500)	CL
Shin-1995-1468-606	606	he	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-607	607	he goat	(700)	B. & Th., JHG
Shin-1995-1468-608	608	head	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-609	609	healthy	(700)	B. & Th., CL
Shin-1995-1468-610	610	hear	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-611	611	heart	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-612	612	hearth	(1500)	K. & K.
Shin-1995-1468-613	613	heavy	(200)	B. & Th., C. & S., JHG, K. & K.
Shin-1995-1468-614	614	hedge-hog	(1500)	K. & K.
Shin-1995-1468-615	615	heel	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-616	616	heifer	(1500)	K. & K.
Shin-1995-1468-617	617	help	(400)	B. & Th., CL, JHG
Shin-1995-1468-618	618	hen	(1500)	K. & K.
Shin-1995-1468-619	619	here	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-620	620	hew	(1500)	K. & K.
Shin-1995-1468-621	621	hide	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-622	622	high	(1500)	K. & K.
Shin-1995-1468-623	623	hill	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-624	624	hip	(700)	B. & Th., JHG
Shin-1995-1468-625	625	hippopotamus	(700)	B. & Th., JHG
Shin-1995-1468-626	626	hiss	(1500)	K. & K.
Shin-1995-1468-627	627	hit	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-628	628	hoar-frost	(1500)	K. & K.
Shin-1995-1468-629	629	hoe	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-630	630	hoe	(700)	B. & Th., JHG
Shin-1995-1468-631	631	hold	(400)	C. & S., CL, MS
Shin-1995-1468-632	632	hole	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-633	633	honey	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-634	634	hoof	(1500)	K. & K.
Shin-1995-1468-635	635	hop	(1500)	CL
Shin-1995-1468-636	636	horn	(100)	B. & Th., C. & S., JHG, MS, K. & K.
Shin-1995-1468-637	637	horse	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-638	638	horse-fly	(1500)	K. & K.
Shin-1995-1468-639	639	horseshoe	(1500)	K. & K.
Shin-1995-1468-640	640	hot	(700)	B. & Th., CL
Shin-1995-1468-641	641	house	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-642	642	how	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-643	643	how many	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-644	644	howl	(1500)	K. & K.
Shin-1995-1468-645	645	hug	(1500)	B. & Th.
Shin-1995-1468-646	646	hum	(1500)	K. & K.
Shin-1995-1468-647	647	hunchbacked	(1500)	B. & Th.
Shin-1995-1468-648	648	hundred	(200)	B. & Th., JHG, K. & K., MS
Shin-1995-1468-649	649	hunger	(700)	B. & Th., JHG
Shin-1995-1468-650	650	hungry	(1500)	B. & Th.
Shin-1995-1468-651	651	hunt	(400)	B. & Th., C. & S., MS
Shin-1995-1468-652	652	hunter	(700)	B. & Th., JHG
Shin-1995-1468-653	653	hunting	(1500)	B. & Th.
Shin-1995-1468-654	654	hurl	(1500)	B. & Th.
Shin-1995-1468-655	655	hurry	(1500)	B. & Th.
Shin-1995-1468-656	656	hurt	(1500)	CL
Shin-1995-1468-657	657	husband	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-658	658	hut	(1500)	B. & Th.
Shin-1995-1468-659	659	hyena	(700)	B. & Th., JHG
Shin-1995-1468-660	660	hyrax	(1500)	B. & Th.
Shin-1995-1468-661	661	I	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-662	662	ice	(400)	C. & S., K. & K., MS
Shin-1995-1468-663	663	if	(400)	B. & Th., C. & S., MS
Shin-1995-1468-664	664	ill	(1500)	B. & Th.
Shin-1995-1468-665	665	imagine	(1500)	CL
Shin-1995-1468-666	666	in	(400)	B. & Th., C. & S., MS
Shin-1995-1468-667	667	in order	(1500)	B. & Th.
Shin-1995-1468-668	668	increase	(700)	B. & Th., JHG
Shin-1995-1468-669	669	industrious	(1500)	B. & Th.
Shin-1995-1468-670	670	inside	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-671	671	insult	(700)	B. & Th., JHG
Shin-1995-1468-672	672	into	(1500)	B. & Th.
Shin-1995-1468-673	673	intoxicating beverage	(1500)	K. & K.
Shin-1995-1468-674	674	investigate	(1500)	CL
Shin-1995-1468-675	675	iris	(1500)	B. & Th.
Shin-1995-1468-676	676	iron	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-677	677	iron ore	(1500)	B. & Th.
Shin-1995-1468-678	678	it	(1500)	B. & Th.
Shin-1995-1468-679	679	itch	(700)	B. & Th., K. & K.
Shin-1995-1468-680	680	jaw	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-681	681	join	(1500)	B. & Th.
Shin-1995-1468-682	682	joint	(700)	B. & Th., K. & K.
Shin-1995-1468-683	683	jug	(1500)	K. & K.
Shin-1995-1468-684	684	jump	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-685	685	keep	(1500)	CL
Shin-1995-1468-686	686	key	(1500)	K. & K.
Shin-1995-1468-687	687	kick	(1500)	B. & Th.
Shin-1995-1468-688	688	kid	(1500)	K. & K.
Shin-1995-1468-689	689	kidney	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-690	690	kill	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-691	691	kind	(1500)	CL
Shin-1995-1468-692	692	king	(700)	B. & Th., JHG
Shin-1995-1468-693	693	kiss	(700)	B. & Th., K. & K.
Shin-1995-1468-694	694	knead	(700)	B. & Th., K. & K.
Shin-1995-1468-695	695	knee	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-696	696	kneel	(1500)	B. & Th.
Shin-1995-1468-697	697	kneel down	(1500)	CL
Shin-1995-1468-698	698	knife	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-699	699	knitted sock	(1500)	K. & K.
Shin-1995-1468-700	700	knitting needle	(1500)	K. & K.
Shin-1995-1468-701	701	knock	(700)	B. & Th., CL
Shin-1995-1468-702	702	know	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-703	703	kola nut	(700)	B. & Th., JHG
Shin-1995-1468-704	704	lack	(1500)	CL
Shin-1995-1468-705	705	lake	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-706	706	lamb	(1500)	K. & K.
Shin-1995-1468-707	707	lame	(1500)	K. & K.
Shin-1995-1468-708	708	language	(700)	B. & Th., JHG
Shin-1995-1468-709	709	large	(700)	B. & Th., JHG
Shin-1995-1468-710	710	last	(1500)	CL
Shin-1995-1468-711	711	last quarter	(1500)	B. & Th.
Shin-1995-1468-712	712	laugh	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-713	713	lazy	(1500)	B. & Th.
Shin-1995-1468-714	714	lead	(1500)	K. & K.
Shin-1995-1468-715	715	leaf	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-716	716	lean	(1500)	K. & K.
Shin-1995-1468-717	717	lean against	(1500)	CL
Shin-1995-1468-718	718	learn	(400)	B. & Th., CL, JHG
Shin-1995-1468-719	719	least	(1500)	B. & Th.
Shin-1995-1468-720	720	leave	(400)	B. & Th., CL, K. & K.
Shin-1995-1468-721	721	leech	(1500)	K. & K.
Shin-1995-1468-722	722	left	(1500)	B. & Th.
Shin-1995-1468-723	723	leftside	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-724	724	leg	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-725	725	lend	(700)	B. & Th., CL
Shin-1995-1468-726	726	leprosy	(1500)	B. & Th.
Shin-1995-1468-727	727	less	(1500)	B. & Th.
Shin-1995-1468-728	728	let	(1500)	CL
Shin-1995-1468-729	729	let go	(1500)	K. & K.
Shin-1995-1468-730	730	lick	(700)	B. & Th., K. & K.
Shin-1995-1468-731	731	lid	(1500)	K. & K.
Shin-1995-1468-732	732	lie	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-733	733	lie	(700)	B. & Th., CL
Shin-1995-1468-734	734	lie down	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-735	735	lie to	(1500)	CL
Shin-1995-1468-736	736	life	(700)	B. & Th., JHG
Shin-1995-1468-737	737	lift	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-738	738	light	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-739	739	light	(1500)	CL
Shin-1995-1468-740	740	light	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-741	741	lighten	(1500)	CL
Shin-1995-1468-742	742	lightning	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-743	743	like	(700)	B. & Th., CL
Shin-1995-1468-744	744	lime	(1500)	K. & K.
Shin-1995-1468-745	745	lion	(700)	B. & Th., JHG
Shin-1995-1468-746	746	lip	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-747	747	liquid	(1500)	K. & K.
Shin-1995-1468-748	748	liquid excrement	(1500)	K. & K.
Shin-1995-1468-749	749	listen	(700)	CL, K. & K.
Shin-1995-1468-750	750	little	(700)	B. & Th., K. & K.
Shin-1995-1468-751	751	live	(200)	B. & Th., C. & S., CL, MS
Shin-1995-1468-752	752	liver	(200)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-753	753	lizard	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-754	754	load	(1500)	CL
Shin-1995-1468-755	755	load	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-756	756	lock	(1500)	K. & K.
Shin-1995-1468-757	757	lock	(1500)	K. & K.
Shin-1995-1468-758	758	log	(1500)	K. & K.
Shin-1995-1468-759	759	long	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-760	760	long-legged bird	(1500)	K. & K.
Shin-1995-1468-761	761	look	(700)	CL, K. & K.
Shin-1995-1468-762	762	look for	(700)	B. & Th., K. & K.
Shin-1995-1468-763	763	lose	(1500)	K. & K.
Shin-1995-1468-764	764	loud	(1500)	CL
Shin-1995-1468-765	765	louse	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-766	766	love	(700)	B. & Th., CL
Shin-1995-1468-767	767	low	(1500)	K. & K.
Shin-1995-1468-768	768	low	(700)	B. & Th., CL
Shin-1995-1468-769	769	lower back	(1500)	B. & Th.
Shin-1995-1468-770	770	lung	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-771	771	machete	(1500)	B. & Th.
Shin-1995-1468-772	772	magpie	(1500)	K. & K.
Shin-1995-1468-773	773	mahogany tree	(1500)	B. & Th.
Shin-1995-1468-774	774	maiden	(700)	B. & Th., JHG
Shin-1995-1468-775	775	maize	(1500)	B. & Th.
Shin-1995-1468-776	776	make	(1500)	CL
Shin-1995-1468-777	777	male	(1500)	K. & K.
Shin-1995-1468-778	778	malice	(1500)	B. & Th.
Shin-1995-1468-779	779	malt	(1500)	K. & K.
Shin-1995-1468-780	780	man	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-781	781	mane	(1500)	K. & K.
Shin-1995-1468-782	782	mangabey	(1500)	B. & Th.
Shin-1995-1468-783	783	manioc	(1500)	B. & Th.
Shin-1995-1468-784	784	manufacture	(1500)	CL
Shin-1995-1468-785	785	many	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-786	786	mare	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-787	787	mark	(1500)	K. & K.
Shin-1995-1468-788	788	market	(700)	B. & Th., JHG
Shin-1995-1468-789	789	marry	(400)	B. & Th., CL, JHG
Shin-1995-1468-790	790	massage	(1500)	CL
Shin-1995-1468-791	791	master	(1500)	B. & Th.
Shin-1995-1468-792	792	mat	(700)	B. & Th., JHG
Shin-1995-1468-793	793	maternal uncle	(1500)	B. & Th.
Shin-1995-1468-794	794	meal	(1500)	K. & K.
Shin-1995-1468-795	795	mean	(1500)	CL
Shin-1995-1468-796	796	measure	(400)	B. & Th., CL, K. & K.
Shin-1995-1468-797	797	measure for flour	(1500)	K. & K.
Shin-1995-1468-798	798	meat	(200)	B. & Th., C. & S., JHG, K. & K.
Shin-1995-1468-799	799	medecine	(700)	B. & Th., JHG
Shin-1995-1468-800	800	mew	(1500)	K. & K.
Shin-1995-1468-801	801	milk	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-802	802	milk	(1500)	K. & K.
Shin-1995-1468-803	803	mill	(1500)	K. & K.
Shin-1995-1468-804	804	mill	(1500)	K. & K.
Shin-1995-1468-805	805	millet	(700)	B. & Th., K. & K.
Shin-1995-1468-806	806	mint	(1500)	K. & K.
Shin-1995-1468-807	807	miss	(1500)	B. & Th.
Shin-1995-1468-808	808	mitten	(1500)	K. & K.
Shin-1995-1468-809	809	mix	(1500)	K. & K.
Shin-1995-1468-810	810	mock	(1500)	B. & Th.
Shin-1995-1468-811	811	molar	(1500)	K. & K.
Shin-1995-1468-812	812	mold	(1500)	B. & Th.
Shin-1995-1468-813	813	moment	(1500)	B. & Th.
Shin-1995-1468-814	814	money	(700)	B. & Th., JHG
Shin-1995-1468-815	815	monitor lizard	(1500)	B. & Th.
Shin-1995-1468-816	816	monkey	(700)	B. & Th., JHG
Shin-1995-1468-817	817	month	(700)	B. & Th., JHG
Shin-1995-1468-818	818	moon	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-819	819	more	(1500)	B. & Th.
Shin-1995-1468-820	820	morning	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-821	821	mosquito	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-822	822	most	(1500)	B. & Th.
Shin-1995-1468-823	823	moth	(1500)	K. & K.
Shin-1995-1468-824	824	mother	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-825	825	mother-in-law	(700)	B. & Th., JHG
Shin-1995-1468-826	826	mother’s brother	(700)	B. & Th., JHG
Shin-1995-1468-827	827	mother’s sister	(700)	B. & Th., JHG
Shin-1995-1468-828	828	mould	(1500)	K. & K.
Shin-1995-1468-829	829	mount	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-830	830	mountain	(400)	C. & S., K. & K., MS
Shin-1995-1468-831	831	mountain turkey	(1500)	K. & K.
Shin-1995-1468-832	832	mouse	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-833	833	moustache	(700)	B. & Th., K. & K.
Shin-1995-1468-834	834	mouth	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-835	835	move	(1500)	CL
Shin-1995-1468-836	836	mow	(1500)	K. & K.
Shin-1995-1468-837	837	mow	(1500)	K. & K.
Shin-1995-1468-838	838	much	(1500)	B. & Th.
Shin-1995-1468-839	839	mud	(700)	B. & Th., JHG
Shin-1995-1468-840	840	mule	(1500)	K. & K.
Shin-1995-1468-841	841	mussel	(1500)	B. & Th.
Shin-1995-1468-842	842	must	(1500)	K. & K.
Shin-1995-1468-843	843	nail	(1500)	CL
Shin-1995-1468-844	844	nail	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-845	845	nail	(1500)	K. & K.
Shin-1995-1468-846	846	name	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-847	847	nape	(700)	B. & Th., JHG
Shin-1995-1468-848	848	narrow	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-849	849	nasal mucus	(1500)	B. & Th.
Shin-1995-1468-850	850	nasty	(1500)	CL
Shin-1995-1468-851	851	navel	(700)	B. & Th., JHG
Shin-1995-1468-852	852	near	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-853	853	nearby	(1500)	B. & Th.
Shin-1995-1468-854	854	necessary	(1500)	CL
Shin-1995-1468-855	855	neck	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-856	856	need	(700)	B. & Th., CL		
Shin-1995-1468-857	857	needle	(1500)	K. & K.
Shin-1995-1468-858	858	neigh	(1500)	K. & K.
Shin-1995-1468-859	859	nerve	(1500)	B. & Th.
Shin-1995-1468-860	860	nest	(1500)	K. & K.
Shin-1995-1468-861	861	net	(700)	B. & Th., K. & K.
Shin-1995-1468-862	862	nettle	(1500)	K. & K.
Shin-1995-1468-863	863	never	(1500)	B. & Th.
Shin-1995-1468-864	864	new	(200)	B. & Th., C. & S., CL, K. & K., MS
Shin-1995-1468-865	865	new moon	(700)	B. & Th., JHG
Shin-1995-1468-866	866	night	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-867	867	nine	(200)	B. & Th., JHG, K. & K., MS
Shin-1995-1468-868	868	nineteen	(700)	B. & Th., JHG
Shin-1995-1468-869	869	ninety	(700)	B. & Th., JHG
Shin-1995-1468-870	870	nipple	(1500)	K. & K.
Shin-1995-1468-871	871	nit	(1500)	K. & K.
Shin-1995-1468-872	872	no one	(700)	B. & Th., JHG
Shin-1995-1468-873	873	nobody	(1500)	B. & Th.
Shin-1995-1468-874	874	nod	(1500)	CL
