NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN
344	商店	172	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	store	shāng-diàn
345	飯館	173	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	restaurant	fàn-guàn
346	郵局	173	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	post office	yóu-jú
347	郵票	174	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	postage stamp	yóu-piāo
348	車站	174	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	stop, station	chē-zhàn
349	碼頭	175	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	pier, quay	mǎ-tóu
350	汽車	175	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	automobile	qì-chē
351	自行車	176	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	bicycle	zì-hàng-chē
352	人力車	176	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	rickshaw	rén-lì-chē
353	輪船	177	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	steamship	lún-chuán
354	汽船	177	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	steamship	qì-chuán
355	小船兒	178	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	boat (small ship)	xiǎo-chuán-ní
356	街道	178	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	street	jiā-dào
357	人行道	179	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	sidewalk (pavement)	rén-hàng-dào
358	巷	179	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	alley, lane	xiàng
359	橋	180	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	bridge	qiáo
360	學校	180	noun	culture, music	十二、文化、娛樂	名 詞	school (educational institution)	xué-jiào
361	書	181	noun	culture, music	十二、文化、娛樂	名 詞	book	shū
362	本子	181	noun	culture, music	十二、文化、娛樂	名 詞	notebook, booklet	tāo-zǐ
363	紙	182	noun	culture, music	十二、文化、娛樂	名 詞	paper	zhǐ
364	硯臺	182	noun	culture, music	十二、文化、娛樂	名 詞	inkstone	yàn-tái
365	毛筆	183	noun	culture, music	十二、文化、娛樂	名 詞	writing brush	máo-bǐ
366	鋼筆	183	noun	culture, music	十二、文化、娛樂	名 詞	fountain pen	gāng-bǐ
367	信	184	noun	culture, music	十二、文化、娛樂	名 詞	letter	xìn
368	信封兒	184	noun	culture, music	十二、文化、娛樂	名 詞	envelope	xìn-fēng-ní
369	信紙	185	noun	culture, music	十二、文化、娛樂	名 詞	letter paper	xìn-zhǐ
370	橡皮圈兒	185	noun	culture, music	十二、文化、娛樂	名 詞	rubber seal	xiàng-pí-juàn-ní
371	圖章	186	noun	culture, music	十二、文化、娛樂	名 詞	seal, stamp	tú-zhāng
372	徽章	186	noun	culture, music	十二、文化、娛樂	名 詞	badge, emblem	huī-zhāng
373	相片	187	noun	culture, music	十二、文化、娛樂	名 詞	foto (picture)	xiāng-piàn
374	電影	187	noun	culture, music	十二、文化、娛樂	名 詞	film (movie)	diàn-yǐng
375	故事	188	noun	culture, music	十二、文化、娛樂	名 詞	history, story	gù-zì
376	球	188	noun	culture, music	十二、文化、娛樂	名 詞	ball	qiú
377	秋千	189	noun	culture, music	十二、文化、娛樂	名 詞	swing	qiū-qiān
378	風箏	189	noun	culture, music	十二、文化、娛樂	名 詞	kite	fēng-zhēng
379	炮仗	190	noun	culture, music	十二、文化、娛樂	名 詞	firecracker	bāo-zhàng
380	哨子	190	noun	culture, music	十二、文化、娛樂	名 詞	whistle	qiào-zǐ
381	頭	191	noun	human body	十三、人體	名 詞	head	tóu
382	頭髮	191	noun	human body	十三、人體	名 詞	hair (of head)	tóu-fà
383	前額	192	noun	human body	十三、人體	名 詞	forehead	qián-é
384	眼睛	192	noun	human body	十三、人體	名 詞	eye	yǎn-qǐng
385	鼻子	193	noun	human body	十三、人體	名 詞	nose	bí-zǐ
386	耳朵	193	noun	human body	十三、人體	名 詞	ear	ěr-duǒ
387	嘴	194	noun	human body	十三、人體	名 詞	mouth	zuǐ
388	舌頭	194	noun	human body	十三、人體	名 詞	tongue	huá-tóu
389	脖子	195	noun	human body	十三、人體	名 詞	neck	bó-zǐ
390	夾肢窩	195	noun	human body	十三、人體	名 詞	armpit	gā-zhi-wō
391	胳膊	196	noun	human body	十三、人體	名 詞	arm	gē-bó
392	左手	196	noun	human body	十三、人體	名 詞	left hand, left side	zuò-shǒu
393	右手	197	noun	human body	十三、人體	名 詞	right hand, right side	yòu-shǒu
394	手指頭	197	noun	human body	十三、人體	名 詞	fingertip	shǒu-zhǐ-tóu
395	大姆指	198	noun	human body	十三、人體	名 詞	thumb	dà-mào-zhǐ
396	小姆指	198	noun	human body	十三、人體	名 詞	little finger	xiǎo-mào-zhǐ
397	指甲	199	noun	human body	十三、人體	名 詞	fingernail	zhǐ-jia
398	屁股	199	noun	human body	十三、人體	名 詞	buttocks	pì-gǔ
399	大腿	200	noun	human body	十三、人體	名 詞	thigh (upper leg)	dà-tuǐ
400	膝蓋	200	noun	human body	十三、人體	名 詞	knee	xī-gě
401	男人	201	noun	human character	十四、人品	名 詞	man	nán-rén
402	女人	201	noun	human character	十四、人品	名 詞	woman	nǜ-rén
403	老頭兒	202	noun	human character	十四、人品	名 詞	old man	lǎo-tóu-ní
404	老太婆	202	noun	human character	十四、人品	名 詞	old woman	lǎo-tài-pó
405	小夥子	203	noun	human character	十四、人品	名 詞	young fellow	xiǎo-huǒ/huò-zǐ
406	小孩兒	203	noun	human character	十四、人品	名 詞	child	xiǎo-hái-ní
407	男孩兒	204	noun	human character	十四、人品	名 詞	boy	nán-hái-ní
408	女孩兒	204	noun	human character	十四、人品	名 詞	girl	nǜ-hái-ní
409	聾子	205	noun	human character	十四、人品	名 詞	deaf person	lóng-zǐ
410	瞎子	205	noun	human character	十四、人品	名 詞	blind person	xiā-zǐ
411	啞吧	206	noun	human character	十四、人品	名 詞	mute person	yà-bā
412	結巴	206	noun	human character	十四、人品	名 詞	stammerer	jié-bā
413	麻子	207	noun	human character	十四、人品	名 詞	person with a pockmarked face	má-zǐ
414	禿子	207	noun	human character	十四、人品	名 詞	baldhead	tū-zǐ
415	駝子	208	noun	human character	十四、人品	名 詞	person with a humpback	tuó-zǐ
416	跛子	208	noun	human character	十四、人品	名 詞	lame person	bǒ-zǐ
417	瘋子	209	noun	human character	十四、人品	名 詞	mad person	fēng-zǐ
418	單身漢	209	noun	human character	十四、人品	名 詞	bachelor	chán-shēn-hàn
419	寡婦	210	noun	human character	十四、人品	名 詞	widow	guǎ-fù
420	雙胞胎	210	noun	human character	十四、人品	名 詞	twins	shuāng-bāo-tāi
421	小偷	211	noun	human character	十四、人品	名 詞	thief	xiǎo-tōu
422	強盜	211	noun	human character	十四、人品	名 詞	robber	qiáng-dào
423	爺爺	212	noun	kinship terms	十五、親屬稱呼	名 詞	grandfather	yé-yé
424	奶奶	212	noun	kinship terms	十五、親屬稱呼	名 詞	grandmother	nǎi-nai
425	爸爸	213	noun	kinship terms	十五、親屬稱呼	名 詞	father (daddy)	bà-bà
426	媽媽	213	noun	kinship terms	十五、親屬稱呼	名 詞	mother (mommy)	mǔ-mǔ
427	後母	214	noun	kinship terms	十五、親屬稱呼	名 詞	stepmother	hòu-mǔ
428	伯父	214	noun	kinship terms	十五、親屬稱呼	名 詞	uncle (father's elder brother)	bó-fù
429	伯母	215	noun	kinship terms	十五、親屬稱呼	名 詞	aunt (wife of fatherss elder brother)	bó-mǔ
430	叔父	215	noun	kinship terms	十五、親屬稱呼	名 詞	uncle	shū-fǔ
431	嬸母	216	noun	kinship terms	十五、親屬稱呼	名 詞	aunt (wife of father's younger brother)	shěn-mǔ
432	姑父	216	noun	kinship terms	十五、親屬稱呼	名 詞	uncle (husband of father's sister)	gū-fǔ
433	姑母	217	noun	kinship terms	十五、親屬稱呼	名 詞	aunt (father's sister)	gū-mǔ
434	外公	217	noun	kinship terms	十五、親屬稱呼	名 詞	maternal grandfather	wài-gōng
435	外婆	218	noun	kinship terms	十五、親屬稱呼	名 詞	maternal grandmother	wài-pó
436	舅父	218	noun	kinship terms	十五、親屬稱呼	名 詞	uncle (mother's brother)	jiù-fǔ
437	舅母	219	noun	kinship terms	十五、親屬稱呼	名 詞	aunt (mother's sister)	jiù-mǔ
438	姨父	219	noun	kinship terms	十五、親屬稱呼	名 詞	uncle (husband of one's maternal aunt)	yí-fǔ
439	姨母	220	noun	kinship terms	十五、親屬稱呼	名 詞	maternal aunt	yí-mǔ
440	丈人	220	noun	kinship terms	十五、親屬稱呼	名 詞	father-in-law (wife's father)	zhàng-rén
441	丈母	221	noun	kinship terms	十五、親屬稱呼	名 詞	mother-in-law (wife's mother)	zhàng-mǔ
442	公公	221	noun	kinship terms	十五、親屬稱呼	名 詞	father-in-law (husband's father)	gōng-gōng
443	婆婆	222	noun	kinship terms	十五、親屬稱呼	名 詞	mother-in-law (husband's mother)	pó-pó
444	丈夫	222	noun	kinship terms	十五、親屬稱呼	名 詞	husband	zhàng-fu
445	妻子	223	noun	kinship terms	十五、親屬稱呼	名 詞	wife	qì-zǐ
446	哥哥	223	noun	kinship terms	十五、親屬稱呼	名 詞	elder brother	gē-gē
447	嫂子	224	noun	kinship terms	十五、親屬稱呼	名 詞	sister-in-law (elder brother's wife)	sǎo-zǐ
448	弟弟	224	noun	kinship terms	十五、親屬稱呼	名 詞	younger brother	dì-dì
449	姐姐	225	noun	kinship terms	十五、親屬稱呼	名 詞	elder sister	jiě-jiě
450	姐夫	225	noun	kinship terms	十五、親屬稱呼	名 詞	brother-in-law (elder sister's husband)	jiě-fū
451	妹妹	226	noun	kinship terms	十五、親屬稱呼	名 詞	younger sister	mèi-mèi
452	妹夫	226	noun	kinship terms	十五、親屬稱呼	名 詞	brother-in-law (younger sister's husband)	mèi-fū
453	大伯子	227	noun	kinship terms	十五、親屬稱呼	名 詞	brother-in-law (husband's elder brother)	dà-bǎi-zi
454	小叔子	227	noun	kinship terms	十五、親屬稱呼	名 詞	brother-in-law (husband's younger brother)	xiǎo-shū-zǐ
455	大姑子	228	noun	kinship terms	十五、親屬稱呼	名 詞	brother-in-law (husband's elder brother)	dà-gū-zǐ
456	小姑子	228	noun	kinship terms	十五、親屬稱呼	名 詞	sister-in-law	xiǎo-gū-zǐ
457	兒子	229	noun	kinship terms	十五、親屬稱呼	名 詞	son	ní-zǐ
458	媳婦	229	noun	kinship terms	十五、親屬稱呼	名 詞	daughter-in-law (son's wife_	xí-fù
459	女兒	230	noun	kinship terms	十五、親屬稱呼	名 詞	daughter	nǜ-ní
460	女婿	230	noun	kinship terms	十五、親屬稱呼	名 詞	son-in-law	nǜ-xù
461	侄兒	231	noun	kinship terms	十五、親屬稱呼	名 詞	nephew	zhì-ní
462	侄女	231	noun	kinship terms	十五、親屬稱呼	名 詞	niece	zhì-nǜ
463	外甥	232	noun	kinship terms	十五、親屬稱呼	名 詞	nephew (sister's son)	wài-shēng
464	孫子	232	noun	kinship terms	十五、親屬稱呼	名 詞	grandson	sūn-zǐ
465	孫女	233	noun	kinship terms	十五、親屬稱呼	名 詞	granddaughter	sūn-nǜ
466	外孫	233	noun	kinship terms	十五、親屬稱呼	名 詞	grandson (daughter's son)	wài-sūn
467	前面	234	noun	directions	十六、方位	名 詞	front, front side	qián-miàn
468	後面	234	noun	directions	十六、方位	名 詞	back, back side	hòu-miàn
469	裏面	235	noun	directions	十六、方位	名 詞	in, inside	lǐ-miàn
470	外面	235	noun	directions	十六、方位	名 詞	out, outside	wài-miàn
471	上面	236	noun	directions	十六、方位	名 詞	top, top side // top	shàng-miàn
472	下面	236	noun	directions	十六、方位	名 詞	under, below	xià-miàn
473	中間	237	noun	directions	十六、方位	名 詞	centre, in the middle of	zhòng-jiàn
474	旁邊	237	noun	directions	十六、方位	名 詞	side	páng-biān
475	隔壁	238	noun	directions	十六、方位	名 詞	next to	gé-bì
476	城裏	238	noun	directions	十六、方位	名 詞	downtown (inside the city)	chéng-lǐ
477	鄉下	239	noun	directions	十六、方位	名 詞	countryside	xiāng-xià
478	東西	239	noun	other	十七、其他	名 詞	thing	dōng-xī
479	粉	240	noun	other	十七、其他	名 詞	powder	fěn
480	末子	240	noun	other	十七、其他	名 詞	dust	mò-zǐ
481	泡沫	241	noun	other	十七、其他	名 詞	foam	pào-mò
482	口水	241	noun	other	十七、其他	名 詞	saliva, spit	kǒu-shuǐ
483	垃圾	242	noun	other	十七、其他	名 詞	garbage, trash	lā-jī
484	角落	242	noun	other	十七、其他	名 詞	corner	lù-luò
485	窟窿	243	noun	other	十七、其他	名 詞	hole, cavity	kū-lóng
486	豬圈	243	noun	other	十七、其他	名 詞	pigsty	zhū-juàn
487	雞窩	244	noun	other	十七、其他	名 詞	chicken nest	jī-wō
488	墳	244	noun	other	十七、其他	名 詞	grave	fèn
489	棺材	245	noun	other	十七、其他	名 詞	coffin	guān-cái
490	事情	245	noun	other	十七、其他	名 詞	affair, matter	zì-qíng
491	刮風	246	verb	natural change	一、自然變化	動詞	blow (of wind)	guā-fēng
492	下雨	246	verb	natural change	一、自然變化	動詞	rain	xià-yù
493	打閃	247	verb	natural change	一、自然變化	動詞	flash (lightning)	dǐng-shàn
494	打雷	247	verb	natural change	一、自然變化	動詞	thunder	dǐng-léi
495	結冰	248	verb	natural change	一、自然變化	動詞	freeze	jié-níng
496	化雪	248	verb	natural change	一、自然變化	動詞	melt snow	huà-xuě
497	淋雨	249	verb	natural change	一、自然變化	動詞	get wet in the rain	lín-yù
498	退色	249	verb	natural change	一、自然變化	動詞	fade (loose color)	tuì-sè
499	掉(掉下來)	250	verb	natural change	一、自然變化	動詞	fall (down)	diào (-diào-xià-lái-)
500	看	250	verb	sense-related actions	二、五官動作	動詞	look, see	kàn
501	眨眼	251	verb	sense-related actions	二、五官動作	動詞	blink (with the eyes)	zhǎ-yǎn
502	瞪眼	251	verb	sense-related actions	二、五官動作	動詞	stare	dèng-yǎn
503	聽	252	verb	sense-related actions	二、五官動作	動詞	hear	tīng
504	聞	252	verb	sense-related actions	二、五官動作	動詞	smell (something)	wén
505	吃	253	verb	sense-related actions	二、五官動作	動詞	eat	chī/jì
506	喝	253	verb	sense-related actions	二、五官動作	動詞	drink	hē
507	吸	254	verb	sense-related actions	二、五官動作	動詞	inhale	xī
508	咬	254	verb	sense-related actions	二、五官動作	動詞	bite	yǎo
509	嚙	255	verb	sense-related actions	二、五官動作	動詞	gnaw	niè
510	嚼	255	verb	sense-related actions	二、五官動作	動詞	chew	jiáo
511	舔	256	verb	sense-related actions	二、五官動作	動詞	lick (with tongue)	tiǎn
512	呑	256	verb	sense-related actions	二、五官動作	動詞	swallow	tūn
513	含	257	verb	sense-related actions	二、五官動作	動詞	keep in the mouth	hán
514	噴	257	verb	sense-related actions	二、五官動作	動詞	splash	pèn
515	吹	258	verb	sense-related actions	二、五官動作	動詞	blow	chuì
516	嚐	258	verb	sense-related actions	二、五官動作	動詞	taste	cháng
517	拿	259	verb	body-part related actions	三、肢體動作	動詞	take, hold	ná
518	捏	259	verb	body-part related actions	三、肢體動作	動詞	knead	niē
519	掐	260	verb	body-part related actions	三、肢體動作	動詞	tweak, twitch	qiā
520	摸	260	verb	body-part related actions	三、肢體動作	動詞	stroke (with hand)	mó
521	撈	261	verb	body-part related actions	三、肢體動作	動詞	catch (fish)	láo
522	找	261	verb	body-part related actions	三、肢體動作	動詞	search	zhǎo
523	摘	262	verb	body-part related actions	三、肢體動作	動詞	pluck, pick	zhāi
524	擦	262	verb	body-part related actions	三、肢體動作	動詞	wipe, rub	cā
525	搓	263	verb	body-part related actions	三、肢體動作	動詞	to rub one's hands	cuō
526	提	263	verb	body-part related actions	三、肢體動作	動詞	hold (in hand), lift (in hand)	tí
527	舉	264	verb	body-part related actions	三、肢體動作	動詞	raise (something with hand)	yú
528	托	264	verb	body-part related actions	三、肢體動作	動詞	support, rely on	tuō
529	端	265	verb	body-part related actions	三、肢體動作	動詞	carry horizontally	duān
530	捧	265	verb	body-part related actions	三、肢體動作	動詞	hold in two hands	pěng
531	擡	266	verb	body-part related actions	三、肢體動作	動詞	lift, carry	tái
532	搬	266	verb	body-part related actions	三、肢體動作	動詞	transfer, move	bān
533	按	267	verb	body-part related actions	三、肢體動作	動詞	press	àn
534	推	267	verb	body-part related actions	三、肢體動作	動詞	push	chuī
535	擋	268	verb	body-part related actions	三、肢體動作	動詞	block	dàng
536	撐	268	verb	body-part related actions	三、肢體動作	動詞	stretch	chēng
537	拖	269	verb	body-part related actions	三、肢體動作	動詞	pull	tuō/duò
538	拉	269	verb	body-part related actions	三、肢體動作	動詞	pull	lā
539	拔	270	verb	body-part related actions	三、肢體動作	動詞	pull out	bá
540	扶	270	verb	body-part related actions	三、肢體動作	動詞	support	fú
541	摟	271	verb	body-part related actions	三、肢體動作	動詞	hug	lóu
542	抱	271	verb	body-part related actions	三、肢體動作	動詞	embrace	bào
543	開	272	verb	body-part related actions	三、肢體動作	動詞	open	kāi
544	關	272	verb	body-part related actions	三、肢體動作	動詞	close	guān
545	封	273	verb	body-part related actions	三、肢體動作	動詞	close, lock	fēng
546	塞	273	verb	body-part related actions	三、肢體動作	動詞	clog	sāi
547	蓋	274	verb	body-part related actions	三、肢體動作	動詞	hide, cover	gě
548	罩	274	verb	body-part related actions	三、肢體動作	動詞	cover	zhào
549	套	275	verb	body-part related actions	三、肢體動作	動詞	wrap, cover	tào
550	卷	275	verb	body-part related actions	三、肢體動作	動詞	wrap, spin	juàn
551	包	276	verb	body-part related actions	三、肢體動作	動詞	wrap, bundle	bāo
552	系	276	verb	body-part related actions	三、肢體動作	動詞	tie, bind	xì
553	解	277	verb	body-part related actions	三、肢體動作	動詞	loosen, untie	xiè
554	剝	277	verb	body-part related actions	三、肢體動作	動詞	peel	bō
555	折(折疊)	278	verb	body-part related actions	三、肢體動作	動詞	fold	shé (-shé-dié-)
556	疊(堆疊)	278	verb	body-part related actions	三、肢體動作	動詞	accumulate	dié (-duī-dié-)
557	鋪	279	verb	body-part related actions	三、肢體動作	動詞	spread	fū
558	裝	279	verb	body-part related actions	三、肢體動作	動詞	fill	zhuàng
559	打	280	verb	body-part related actions	三、肢體動作	動詞	beat	dǐng
560	捅	280	verb	body-part related actions	三、肢體動作	動詞	jab	tǒng
561	碰	281	verb	body-part related actions	三、肢體動作	動詞	collide, bump into	pèng
562	撕	281	verb	body-part related actions	三、肢體動作	動詞	rip, tear	xī
563	彈	282	verb	body-part related actions	三、肢體動作	動詞	strengh	tán
564	扔	282	verb	body-part related actions	三、肢體動作	動詞	throw, throw away	rèng
565	塡	283	verb	body-part related actions	三、肢體動作	動詞	fill in, fill up	tián
566	埋	283	verb	body-part related actions	三、肢體動作	動詞	bury	mái
567	走	284	verb	body-part related actions	三、肢體動作	動詞	walk, go (on foot), leave	zòu
568	跑	284	verb	body-part related actions	三、肢體動作	動詞	run	bó
569	跳	285	verb	body-part related actions	三、肢體動作	動詞	jump	tiáo
570	踩	285	verb	body-part related actions	三、肢體動作	動詞	step (on something with the foot)	cǎi
571	跨	286	verb	body-part related actions	三、肢體動作	動詞	stride	kuā
572	站	286	verb	body-part related actions	三、肢體動作	動詞	stand, stand up	zhàn
573	蹲	287	verb	body-part related actions	三、肢體動作	動詞	bend down	dūn/cún
574	靠	287	verb	body-part related actions	三、肢體動作	動詞	lean on, depend on	kào
575	躺	288	verb	body-part related actions	三、肢體動作	動詞	lie down, lie (sleep)	tǎng
576	摔	288	verb	body-part related actions	三、肢體動作	動詞	fall to the ground	shuāi
577	擠	289	verb	body-part related actions	三、肢體動作	動詞	squeeze, push against	jǐ
578	躱	289	verb	body-part related actions	三、肢體動作	動詞	hide	duǒ
579	挑	290	verb	body-part related actions	三、肢體動作	動詞	carry (on shoulder or back)	tāo
580	措	290	verb	body-part related actions	三、肢體動作	動詞	collect	cuò/cù
581	跟	291	verb	body-part related actions	三、肢體動作	動詞	follow	gēn
582	逃跑	291	verb	body-part related actions	三、肢體動作	動詞	flee, run away	táo-bó
583	脫	292	verb	daily actions	四、日常操作	動詞	take off (clothes)	duó
584	戴	292	verb	daily actions	四、日常操作	動詞	wear (on head)	dài
585	洗	293	verb	daily actions	四、日常操作	動詞	wash	xǐ
586	刷	293	verb	daily actions	四、日常操作	動詞	brush	shuā
587	涮	294	verb	daily actions	四、日常操作	動詞	boil out	shuàn
588	漱口	294	verb	daily actions	四、日常操作	動詞	gargle	shù-kǒu
589	冼澡	295	verb	daily actions	四、日常操作	動詞	wash (onself)	xiǎn-zǎo
590	曬	295	verb	daily actions	四、日常操作	動詞	take a sunbath	xì
591	晾	296	verb	daily actions	四、日常操作	動詞	dry in the sun	liàng
592	熨	296	verb	daily actions	四、日常操作	動詞	iron	yù
593	染	297	verb	daily actions	四、日常操作	動詞	dye (hair)	ràn
594	剪	297	verb	daily actions	四、日常操作	動詞	cut	jiǎn
595	裁	298	verb	daily actions	四、日常操作	動詞	cut	cái
596	切	298	verb	daily actions	四、日常操作	動詞	cut (in two parts)	qiē,
597	割	299	verb	daily actions	四、日常操作	動詞	cut off	gē
598	刴	299	verb	daily actions	四、日常操作	動詞	hack (to pieces)	duò
599	殺	300	verb	daily actions	四、日常操作	動詞	kill	shài
600	宰	300	verb	daily actions	四、日常操作	動詞	to slaughter	zǎi
601	潑	301	verb	daily actions	四、日常操作	動詞	pour, splash	pō
602	澆	301	verb	daily actions	四、日常操作	動詞	water, sprinkle	ào
603	掃	302	verb	daily actions	四、日常操作	動詞	sweep	sào
604	點	302	verb	daily actions	四、日常操作	動詞	point to, nod	diǎn
605	收拾	303	verb	daily actions	四、日常操作	動詞	gather, collect	shōu-shí
606	撹和	303	verb	daily actions	四、日常操作	動詞	mix, blend	jiǎo-hé
607	拌	304	verb	daily actions	四、日常操作	動詞	mix	bàn
608	選擇	304	verb	daily actions	四、日常操作	動詞	select	suǎn-zé
609	藏(收存)	305	verb	daily actions	四、日常操作	動詞	safe (money), collect (money)	zàng (-shōu-cún-)
610	說	305	verb	communication	五、交際、事務、人事	動詞	speak	yuè
611	閑淡	306	verb	communication	五、交際、事務、人事	動詞	talk, make smalltalk	xián-yǎn
612	問	306	verb	communication	五、交際、事務、人事	動詞	ask	wèn
613	理	307	verb	communication	五、交際、事務、人事	動詞	manage	lǐ
614	叫	307	verb	communication	五、交際、事務、人事	動詞	call	jiào
615	喊	308	verb	communication	五、交際、事務、人事	動詞	shout, cry	hǎn
616	笑	308	verb	communication	五、交際、事務、人事	動詞	smile	xiào
617	哭	309	verb	communication	五、交際、事務、人事	動詞	weep, cry	kū
618	駡	309	verb	communication	五、交際、事務、人事	動詞	shout, scold	mà
619	開玩笑	310	verb	communication	五、交際、事務、人事	動詞	make a joke	kāi-wán/wàn-xiào
620	發脾氣	310	verb	communication	五、交際、事務、人事	動詞	get angry	fā-pí-qì
621	吵架	311	verb	communication	五、交際、事務、人事	動詞	argue, quarell	chǎo-jià
622	打架	311	verb	communication	五、交際、事務、人事	動詞	fight	dǐng-jià
623	勸	312	verb	communication	五、交際、事務、人事	動詞	recommend	quàn
624	吹牛	312	verb	communication	五、交際、事務、人事	動詞	boast	chuì-niú
625	拍馬	313	verb	communication	五、交際、事務、人事	動詞	flatter	pāi-mǎ
626	發誓	313	verb	communication	五、交際、事務、人事	動詞	swear, vow	fā-shì
627	陪	314	verb	communication	五、交際、事務、人事	動詞	accompany	péi
628	做事兒	314	verb	communication	五、交際、事務、人事	動詞	do something	zuò-zì-ní
629	幹活兒	315	verb	communication	五、交際、事務、人事	動詞	work	gàn-guō-ní
630	種地	315	verb	communication	五、交際、事務、人事	動詞	cultivate	zhòng-dì
631	開車	316	verb	communication	五、交際、事務、人事	動詞	drive a car	kāi-chē
632	買布	316	verb	communication	五、交際、事務、人事	動詞	buy cloth	mǎi-bù
633	買油	317	verb	communication	五、交際、事務、人事	動詞	buy oil	mǎi-yóu
634	買藥(買中藥)	317	verb	communication	五、交際、事務、人事	動詞	buy Chinese medicine	mǎi-yào (-mǎi-zhòng-yào-)
635	活	318	verb	communication	五、交際、事務、人事	動詞	live	guō
636	死	318	verb	communication	五、交際、事務、人事	動詞	die	sǐ
637	結婚(指男方)	319	verb	communication	五、交際、事務、人事	動詞	marry (of a man)	jié-hūn (-zhǐ-nán-fāng-)
638	結婚(指女方)	319	verb	communication	五、交際、事務、人事	動詞	marry (of a woman)	jié-hūn (-zhǐ-nǜ-fāng-)
639	生(生育)	320	verb	communication	五、交際、事務、人事	動詞	give birth	shēng (-shēng-yù-)
640	上課	320	verb	culture, music	六、文化、娛樂	動詞	start class, go to class	shàng-kē
641	下課	321	verb	culture, music	六、文化、娛樂	動詞	finish class	xià-kē
642	敎	321	verb	culture, music	六、文化、娛樂	動詞	teach	jiào
643	學	322	verb	culture, music	六、文化、娛樂	動詞	learn	xué
644	玩兒	322	verb	culture, music	六、文化、娛樂	動詞	play	wán/wàn-ní
645	遊泳	323	verb	culture, music	六、文化、娛樂	動詞	swim	yóu-yǒng
646	照相	323	verb	culture, music	六、文化、娛樂	動詞	take a picture	zhào-xiāng
647	贏	324	verb	culture, music	六、文化、娛樂	動詞	win	yíng
648	輸	324	verb	culture, music	六、文化、娛樂	動詞	transport, carry	shū
649	休息	325	verb	physiology and disease	七、生理、病理	動詞	rest	xiū-xī
650	睡覺	325	verb	physiology and disease	七、生理、病理	動詞	sleep	shuì-jiào
651	打呵欠	326	verb	physiology and disease	七、生理、病理	動詞	yawn	dǐng-hē-qiàn
652	打瞌睡	326	verb	physiology and disease	七、生理、病理	動詞	doze off	dǎ-kē-shuì
653	打冷噤	327	verb	physiology and disease	七、生理、病理	動詞	shiver	dǐng-líng-jìn
654	哆嗦	327	verb	physiology and disease	七、生理、病理	動詞	tremble	duō-suo
655	噴嚏	328	verb	physiology and disease	七、生理、病理	動詞	sneeze	pèn-tì
656	抓癢	328	verb	physiology and disease	七、生理、病理	動詞	scratch (to relieve itch)	zhāo-yǎng
657	撒(撒尿)	329	verb	physiology and disease	七、生理、病理	動詞	pee, piss	sā (sā-niào)
658	拉(拉屎)	329	verb	physiology and disease	七、生理、病理	動詞	defecate, shit	lā (-lā-shǐ-)
659	生病	330	verb	physiology and disease	七、生理、病理	動詞	fall ill	shēng-bìng
660	著涼	330	verb	physiology and disease	七、生理、病理	動詞	catch a cold	zhuó-liáng
661	咳嗽	331	verb	physiology and disease	七、生理、病理	動詞	cough	hái-sù
662	頭暈	331	verb	physiology and disease	七、生理、病理	動詞	get dizzy	tóu-yùn
663	發燒	332	verb	physiology and disease	七、生理、病理	動詞	have a fever	fā-shāo
664	瀉肚	332	verb	physiology and disease	七、生理、病理	動詞	have diarrhoea	xiè-dǔ
665	生瘧疾	333	verb	physiology and disease	七、生理、病理	動詞	get malaria	shēng-nǜe-jí
666	喜歡	333	verb	perceive, reflect	八、感受、思維	動詞	like	xì-huān
667	討厭	334	verb	perceive, reflect	八、感受、思維	動詞	dislike	tǎo-yā
668	怪	334	verb	perceive, reflect	八、感受、思維	動詞	make responsible for	guài
669	恨	335	verb	perceive, reflect	八、感受、思維	動詞	hate	hèn
670	後悔	335	verb	perceive, reflect	八、感受、思維	動詞	regret	hòu-huì
671	怕	336	verb	perceive, reflect	八、感受、思維	動詞	fear	bó
672	知道	336	verb	perceive, reflect	八、感受、思維	動詞	know	zhī-dào
673	想	337	verb	perceive, reflect	八、感受、思維	動詞	think	xiǎng
674	打算	337	verb	perceive, reflect	八、感受、思維	動詞	plan, intend	dǐng-suàn
675	相信	338	verb	perceive, reflect	八、感受、思維	動詞	believe, trust	xiāng-xìn
676	懷疑	338	verb	perceive, reflect	八、感受、思維	動詞	doubt	huái-yí
