657	撒(撒尿)	verb	pee, piss (verb)	sā (sā-niào)	592	PISS (verb)	2
658	拉(拉屎)	verb	defecate, shit (verb)	lā (-lā-shǐ-)	676	SHIT (verb)	2
660	著涼	verb	catch a cold (verb)	zhuó-liáng	2184	CATCH A COLD (verb)	2
661	咳嗽	verb	cough (verb)	hái-sù	879	COUGH (verb)	2
666	喜歡	verb	like (verb)	xì-huān	1117	LIKE (verb)	2
669	恨	verb	hate (verb)	hèn	1607	HATE (verb)	2
670	後悔	verb	regret (verb)	hòu-huì	1875	REGRET (verb)	2
671	怕	verb	fear (verb)	bó	1419	FEAR (BE AFRAID) (verb)	2
672	知道	verb	know (verb)	zhī-dào	1410	KNOW (SOMETHING) (verb)	2
673	想	verb	think (verb)	xiǎng	1415	THINK (REFLECT) (verb)	2
674	打算	verb	plan, intend (verb)	dǐng-suàn	22	INTEND (verb)	2
679	忘記	verb	forget (verb)	wáng-jì	1523	FORGET (verb)	2
680	要	verb	want (verb)	yāo	1784	WANT (verb)	2
684	是	verb	be (verb)	shì	1579	BE (verb)	2
687	接吻	verb	kiss (verb)	jiē--	578	KISS (verb)	2
