NUMBER	GLOSS	URL	OMEGAWIKI
186	warm	http://ielex.mpi.nl/meaning/warm/	5485
187	wash	http://ielex.mpi.nl/meaning/wash/	6069
188	water	http://ielex.mpi.nl/meaning/water/	4118
189	we	http://ielex.mpi.nl/meaning/we/	5455
190	wet	http://ielex.mpi.nl/meaning/wet/	7027
191	what	http://ielex.mpi.nl/meaning/what/	5491
192	when	http://ielex.mpi.nl/meaning/when/	5493
193	where	http://ielex.mpi.nl/meaning/where/	5492
194	white	http://ielex.mpi.nl/meaning/white/	5825
195	who	http://ielex.mpi.nl/meaning/who/	5490
196	wide	http://ielex.mpi.nl/meaning/wide/	5502
197	wife	http://ielex.mpi.nl/meaning/wife/	5429
198	wind	http://ielex.mpi.nl/meaning/wind/	4160
199	wing	http://ielex.mpi.nl/meaning/wing/	5528
200	wipe	http://ielex.mpi.nl/meaning/wipe/	6070
201	with	http://ielex.mpi.nl/meaning/with/	5844
202	woman	http://ielex.mpi.nl/meaning/woman/	4165
203	woods	http://ielex.mpi.nl/meaning/woods/	1533
204	worm	http://ielex.mpi.nl/meaning/worm/	5466
205	year	http://ielex.mpi.nl/meaning/year/	5478
206	yellow	http://ielex.mpi.nl/meaning/yellow/	6031
207	you	http://ielex.mpi.nl/meaning/you/	5456
